,accuracy,precision,recall,f1_score
decision_tree.joblib,0.7196593328601846,0.47074468085106386,0.4745308310991957,0.472630173564753
logistic_regression.joblib,0.8147622427253371,0.6842105263157895,0.5576407506702413,0.6144756277695717
random_forest.joblib,0.7963094393186657,0.6557971014492754,0.48525469168900803,0.5577812018489984
